编号,葡萄酒英文名,葡萄酒中文名,官方网站,类型(Red Wine红葡萄酒/White Wine白葡萄酒/Rose Wine粉红葡萄酒/Sparking Wine起泡酒/Port Wine波特酒/Sherry Wine雪利酒/Fortified Wine加强酒/Sweet Wine甜酒/Others其它),产区（France/Bordeaux/Haut-Médoc/Margaux）,产区（法国/波尔多/上梅多克/玛歌）,酒庄英文名,酒庄中文名,年份,适饮年份（2001-2002）,酒精度,葡萄品种／含量,容量,评分
1,Château Ausone,欧颂庄园/奥信庄园/ 奥松庄园,http://www.chateau-ausone-saint-emilion.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Ausone,欧颂庄园/奥信庄园/ 奥松庄园,2008,,,,750,
2,Château Cheval Blanc,白马庄园,http://www.chateau-cheval-blanc.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Cheval Blanc,白马庄园,2008,,,,750,
3,Château Angélus,金钟庄园/金钟庄/金钟堡,http://www.angelus.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Angélus,金钟庄园/金钟庄/金钟堡,2008,,,,750,
4,Château Belair Monange,宝雅庄园,http://www.moueix.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Belair Monange,宝雅庄园,2008,,,,750,
5,Clos Fourtet,富尔泰庄园/弗禾岱庄园,http://www.closfourtet.com/ ,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Clos Fourtet,富尔泰庄园/弗禾岱庄园,2008,,,,750,
6,Château Pavie,柏菲庄,http://www.chateaupavie.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Pavie,柏菲庄,2008,,,,750,
7,Château Beau-Séjour Bécot,博塞留贝戈堡/博塞留贝戈庄园/宝世珠-贝格,http://www.beausejour-becot.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Beau-Séjour Bécot,博塞留贝戈堡/博塞留贝戈庄园/宝世珠-贝格,2008,,,,750,
8,Château Figeac,飞卓庄,http://www.chateau-figeac.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Figeac,飞卓庄,2008,,,,750,
9,Château Magdelaine,美特朗庄园/玛德莱娜庄园/玛德琳酒庄,http://www.moueix.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Magdelaine,美特朗庄园/玛德莱娜庄园/玛德琳酒庄,2008,,,,750,
10,Château Troplong Mondot,卓龙梦特,http://www.chateau-troplong-mondot.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Troplong Mondot,卓龙梦特,2008,,,,750,
11,Château Beauséjour (Duffau-Lagarrosse),博塞庄园/博塞留堡,http://www.beausejourhdl.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Beauséjour (Duffau-Lagarrosse),博塞庄园/博塞留堡,2008,,,,750,
12,Château Canon,卡侬庄园/卡农庄园/,http://www.chateaucanon.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Canon,卡侬庄园/卡农庄园/,2008,,,,750,
13,Château La Gaffelière,嘉芙丽庄园/佳福利酒堡,http://www.chateau-la-gaffeliere.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château La Gaffelière,嘉芙丽庄园/佳福利酒堡,2008,,,,750,
14,Château Trotte Vieille,老托特堡/卓特威庄园,http://www.trottevieille.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Trotte Vieille,老托特堡/卓特威庄园,2008,,,,750,
15,Château Balestard la Tonnelle,贝拉斯达堡,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Balestard la Tonnelle,贝拉斯达堡,2008,,,,750,
16,Château Berliquet,贝尔立凯堡,http://www.chateau-berliquet.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Berliquet,贝尔立凯堡,2008,,,,750,
17,Château Canon-la-Gaffelière,卡侬嘉芙丽庄园/大炮嘉芙丽,http://www.canon-la-gaffeliere.com,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Canon-la-Gaffelière,卡侬嘉芙丽庄园/大炮嘉芙丽,2008,,,,750,
18,Château Corbin,高尔班堡/高宾/,http://www.chateau-corbin.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Corbin,高尔班堡/高宾/,2008,,,,750,
19,Château Faurie de Souchard,弗海德苏查尔堡/菲力苏庄,http://fauriedesouchard.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Faurie de Souchard,弗海德苏查尔堡/菲力苏庄,2008,,,,750,
20,Château Franc Mayne,弗朗梅诺堡,http://www.chateaufrancmayne.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Franc Mayne,弗朗梅诺堡,2008,,,,750,
21,Château Guadet Saint-Julien,卡岱圣于连酒庄,http://www.chateau-guadet-saintemilion.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Guadet Saint-Julien,卡岱圣于连酒庄,2008,,,,750,
22,Château L'Arrosée,拉若斯堡,http://www.chateau-larrosee.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château L'Arrosée,拉若斯堡,2008,,,,750,
23,Château La Dominique,多明尼克酒庄/多明尼格庄,http://www.chateau-ladominique.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château La Dominique,多明尼克酒庄/多明尼格庄,2008,,,,750,
24,Château La Tour Figeac,拉图飞卓堡,http://www.latourfigeac.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château La Tour Figeac,拉图飞卓堡,2008,,,,750,
25,Château Laniote,,http://www.laniote.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Laniote,,2008,,,,750,
26,Château Laroque,,http://www.chateau-laroque.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Laroque,,2008,,,,750,
27,Château Les Grandes Murailles ,长城堡,http://www.lesgrandesmurailles.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Les Grandes Murailles ,长城堡,2008,,,,750,
28,Château Pavie-Decesse,柏菲德凯斯庄园,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Pavie-Decesse,柏菲德凯斯庄园,2008,,,,750,
29,Château Pipeau,琵博酒庄,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Pipeau,琵博酒庄,2008,,,,750,
30,Château Tertre Daugay,瞭望塔山庄,http://www.chateau-tertre-daugay.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Tertre Daugay,瞭望塔山庄,2008,,,,750,
31,Château Yon Figeac,雍‧飞香城堡/永卓酒庄,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Yon Figeac,雍‧飞香城堡/永卓酒庄,2008,,,,750,
32,Clos Saint-Martin,,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Clos Saint-Martin,,2008,,,,750,
33,Château Bergat,贝尔卡堡/伯爵庄园,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Bergat,贝尔卡堡/伯爵庄园,2008,,,,750,
34,Château Cadet Piola,嘉黛皮奥拉酒庄/卡特葆拉,http://www.chateaucadetpiola.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Cadet Piola,嘉黛皮奥拉酒庄/卡特葆拉,2008,,,,750,
35,Château Chauvin,舍宛堡,http://www.chateauchauvin.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Chauvin,舍宛堡,2008,,,,750,
36,Château Dassault,达索特堡,http://www.chateaudassault.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Dassault,达索特堡,2008,,,,750,
37,Château Fonroque,弗朗克庄园/弗兰克庄园,http://www.chateaufonroque.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Fonroque,弗朗克庄园/弗兰克庄园,2008,,,,750,
38,Château Grand Pontet,葛兰朋特/大鹏,http://chateaugrandpontet.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Grand Pontet,葛兰朋特/大鹏,2008,,,,750,
39,Château Haut Sarpe,高萨尔普酒庄/奥莎酒庄,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château Haut Sarpe,高萨尔普酒庄/奥莎酒庄,2008,,,,750,
40,Château La Couspaude,古斯伯德堡/古斯博德酒庄/库斯佩德酒庄,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château La Couspaude,古斯伯德堡/古斯博德酒庄/库斯佩德酒庄,2008,,,,750,
41,Château La Serre,拉赛尔堡/塞纳庄园,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,法国/波尔多/利布尔讷/圣埃米利永,Château La Serre,拉赛尔堡/塞纳庄园,2008,,,,750,
42,Château La Tour du Pin Figeac (Moueix),,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château La Tour du Pin Figeac (Moueix),,2008,,,,750,
43,Château Larmande,拉曼德庄园/雷曼庄园,http://www.chateau-larmande.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Larmande,拉曼德庄园/雷曼庄园,2008,,,,750,
44,Château Le Prieuré,,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Le Prieuré,,2008,,,,750,
45,Château Moulin du Cadet,小磨坊堡,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Moulin du Cadet,小磨坊堡,2008,,,,750,
46,Château Petit Faurie de Soutard,小富苏/富伊苏塔尔城堡,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Petit Faurie de Soutard,小富苏/富伊苏塔尔城堡,2008,,,,750,
47,Château Soutard,苏塔堡/苏达庄,http://www.chateau-soutard.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Soutard,苏塔堡/苏达庄,2008,,,,750,
48,Clos des Jacobins,克洛德嘉科本,http://www.closdesjacobins.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Clos des Jacobins,克洛德嘉科本,2008,,,,750,
49,Château Bellevue,美景古堡/宝来湖庄,http://www.chateaubelle-vue.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Bellevue,美景古堡/宝来湖庄,2008,,,,750,
50,Château Cadet Bon,嘉德堡/卡岱彭城堡,http://www.cadet-bon.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Cadet Bon,嘉德堡/卡岱彭城堡,2008,,,,750,
51,Château Cap de Mourlin,卡佩德莫兰堡/卡地慕兰城堡,http://www.vignoblescapdemourlin.com,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Cap de Mourlin,卡佩德莫兰堡/卡地慕兰城堡,2008,,,,750,
52,Château Corbin Michotte,米修特堡,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Corbin Michotte,米修特堡,2008,,,,750,
53,Château Fonplégade,凤乐佳城堡/枫裴德列级酒庄/大玛尼庄园,http://www.fonplegade.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Fonplégade,凤乐佳城堡/枫裴德列级酒庄/大玛尼庄园,2008,,,,750,
54,Château Grand Mayne,格兰梅庄园/大梅诺堡,http://www.chateau-grand-mayne.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Grand Mayne,格兰梅庄园/大梅诺堡,2008,,,,750,
55,Château Haut Corbin,欧高尔班堡,http://www.hautcorbin.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Haut Corbin,欧高尔班堡,2008,,,,750,
56,Château La Clotte,拉克洛特,http://www.chateaulaclotte.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château La Clotte,拉克洛特,2008,,,,750,
57,Château La Marzelle,拉玛泽勒堡/,http://www.chateaulamarzelle.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château La Marzelle,拉玛泽勒堡/,2008,,,,750,
58,Château La Tour du Pin Figeac (Giraud-Bélivier),,http://www.vins-giraud-belivier.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château La Tour du Pin Figeac (Giraud-Bélivier),,2008,,,,750,
59,Château Larcis Ducasse,拉斯杜嘉庄园,http://www.larcis-ducasse.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Larcis Ducasse,拉斯杜嘉庄园,2008,,,,750,
60,Château Laroze,拉若姿堡,http://www.laroze.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Laroze,拉若姿堡,2008,,,,750,
61,Château Matras,玛塔堡,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Matras,玛塔堡,2008,,,,750,
62,Château Pavie-Macquin,帕维马凯堡/柏菲-马甘酒庄,http://www.pavie-macquin.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Pavie-Macquin,帕维马凯堡/柏菲-马甘酒庄,2008,,,,750,
63,Château Saint-Georges-Côte-Pavie  ,,,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Saint-Georges-Côte-Pavie  ,,2008,,,,750,
64,Château Villemaurine,,http://www.villemaurine.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Villemaurine,,2008,,,,750,
65,Clos de l'Oratoire,克洛德罗哈特瓦酒庄,http://www.neipperg.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Clos de l'Oratoire,克洛德罗哈特瓦酒庄,2008,,,,750,
66,Couvent des Jacobins,,http://www.couventdesjacobins.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Couvent des Jacobins,,2008,,,,750,
67,Château Bellefont-Belcier,贝勒丰酒庄,http://www.bellefont-belcier.fr/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Bellefont-Belcier,贝勒丰酒庄,2008,,,,750,
68,Château Grand Corbin,,http://www.grand-corbin.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Grand Corbin,,2008,,,,750,
69,Château Fleur-Cardinale,卡迪娜庄园,http://www.chateau-fleurcardinale.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Fleur-Cardinale,卡迪娜庄园,2008,,,,750,
70,Château Monbousquet,,http://www.chateaupavie.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Monbousquet,,2008,,,,750,
71,Château Destieux,,http://www.vignoblesdauriac.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Destieux,,2008,,,,750,
72,Château Grand Corbin-Despagne,,http://www.grand-corbin-despagne.com/,红葡萄酒,France/Bordeaux/Libournais/Saint-Émilion,"法国/波尔多/利布尔讷/圣埃米利永

",Château Grand Corbin-Despagne,,2008,,,,750,
73,Château Bouscaut,宝斯高庄园/博斯科酒庄,http://www.chateau-bouscaut.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Bouscaut,宝斯高庄园/博斯科酒庄,,,,,750,
74,Château Carbonnieux,卡尔邦女庄园/卡伯涅酒庄,http://www.carbonnieux.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Carbonnieux,卡尔邦女庄园/卡伯涅酒庄,,,,,750,
75,Domaine de Chevalier,骑士庄园,http://www.domainedechevalier.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Domaine de Chevalier,骑士庄园,,,,,750,
76,Château de Fieuzal,佛泽尔城堡/佛泽庄园,http://www.fieuzal.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château de Fieuzal,佛泽尔城堡/佛泽庄园,,,,,750,
77,Château Haut-Bailly,高柏丽庄园/奥比利,http://www.chateau-haut-bailly.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Haut-Bailly,高柏丽庄园/奥比利,,,,,750,
78,Château Latour-Martillac,拉图马蒂亚克庄园/拉图玛蒂雅克,http://www.latourmartillac.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Latour-Martillac,拉图马蒂亚克庄园/拉图玛蒂雅克,,,,,750,
79,Château Malartic-Lagravière,马拉蒂克-拉格维尔庄园/马拉狄庄园/马拉迪-拉卡维,http://www.malartic-lagraviere.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Malartic-Lagravière,马拉蒂克-拉格维尔庄园/马拉狄庄园/马拉迪-拉卡维,,,,,750,
80,Château La Mission Haut-Brion  ,修道院红颜容/修道院奥比良庄园/修道院侯伯王,http://www.mission-haut-brion.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château La Mission Haut-Brion  ,修道院红颜容/修道院奥比良庄园/修道院侯伯王,,,,,750,
81,Château Olivier,奥列弗/奥莉薇庄园/奥莉薇堡,http://www.chateau-olivier.com/ ,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Olivier,奥莉薇庄园/奥莉薇堡,,,,,750,
82,Château Pape Clément,黑教皇堡/克莱蒙教皇庄园,http://www.pape-clement.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Pape Clément,黑教皇堡/克莱蒙教皇庄园,,,,,750,
83,Château Smith Haut Lafitte,史密斯拉菲/诗密拉菲特/使密拉菲庄园/史密斯·奥拉斐,http://www.smith-haut-lafitte.com/,红葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Smith Haut Lafitte,史密斯拉菲/诗密拉菲特/使密拉菲庄园/史密斯·奥拉斐,,,,,750,
84,Château Bouscaut,宝斯高庄园/博斯科酒庄,http://www.chateau-bouscaut.com/,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Bouscaut,宝斯高庄园/博斯科酒庄,,,,,750,
85,Château Carbonnieux,卡尔邦女庄园/卡伯涅酒庄,http://www.carbonnieux.com/,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Carbonnieux,卡尔邦女庄园/卡伯涅酒庄,,,,,750,
86,Domaine de Chevalier,骑士庄园,http://www.domainedechevalier.com/,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Domaine de Chevalier,骑士庄园,,,,,750,
87,Château Couhins,歌欣庄园/古汉斯,http://www.chateau-couhins.fr/,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Couhins,歌欣庄园/古汉斯,,,,,750,
88,Château Couhins-Lurton,金露桐酒庄,http://www.andrelurton.com/,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Couhins-Lurton,金露桐酒庄,,,,,750,
89,Château Latour-Martillac,拉图马蒂亚克庄园/拉图玛蒂雅克,http://www.latourmartillac.com/,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Latour-Martillac,拉图马蒂亚克庄园/拉图玛蒂雅克,,,,,750,
90,Château Laville Haut-Brion,拉维尔奥比良庄园,,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Laville Haut-Brion,拉维尔奥比良庄园,,,,,750,
91,Château Malartic-Lagravière,马拉蒂克-拉格维尔庄园/马拉狄庄园/马拉迪-拉卡维,http://www.malartic-lagraviere.com/,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Malartic-Lagravière,马拉蒂克-拉格维尔庄园/马拉狄庄园/马拉迪-拉卡维,,,,,750,
92,Château Olivier,奥列弗/奥莉薇庄园/奥莉薇堡,http://www.chateau-olivier.com/ ,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Olivier,奥莉薇庄园/奥莉薇堡,,,,,750,
93,Château Pape Clément,黑教皇堡/克莱蒙教皇庄园,http://www.pape-clement.com/,白葡萄酒,France/Bordeaux/Graves/Pessac-Léognan,法国/波尔多/格拉夫/佩萨克-雷奥良,Château Pape Clément,黑教皇堡/克莱蒙教皇庄园,,,,,750,
94,Château d'Yquem,伊甘酒庄/伊甘堡/伊甘庄园,http://www.yquem.fr/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
95,Château La Tour Blanche,白塔堡/白塔庄园/,http://www.tour-blanche.com/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
96,Château Lafaurie-Peyraguey,拉佛瑞佩拉庄园,http://www.lafaurie-peyraguey.com/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
97,Château Clos Haut-Peyraguey,奥派瑞庄园,http://www.closhautpeyraguey.com/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
98,Château de Rayne-Vigneau,海内威农庄园/,http://www.raynevigneau.fr/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
99,Château Suduiraut,绪帝罗堡/苏特罗庄园/苏德奥酒庄/苏笛洛酒庄,http://www.suduiraut.com/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
100,Château Coutet,古岱庄园/谷特庄园/,http://www.chateaucoutet.com/,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
101,Château Climens,克利芒庄园/克里芒堡/克里蒙,http://www.chateau-climens.fr/,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
102,Château Guiraud,吉罗古堡/芝路酒庄,http://www.chateauguiraud.fr/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
103,Château Rieussec,拉菲丽丝/莱斯酒庄,http://www.lafite.com/eng/Bordeaux-Estates/Chateau-Rieussec,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
104,Château Rabaud-Promis,哈宝普诺庄园,,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
105,Château Sigalas-Rabaud,斯格拉哈伯庄园,http://www.chateau-sigalas-rabaud.fr/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
106,Château de Myrat,米拉特庄园/德·密哈酒庄,http://www.chateaudemyrat.fr/,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
107,Château Doisy Daëne,"
多西戴恩庄园",http://www.denisdubourdieu.fr/,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
108,Château Doisy-Dubroca,多喜布罗卡庄园/,,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
109,Château Doisy-Védrines,多西伟多内堡/迪斯威特林/多希韦德喜,,甜酒,France/Bordeaux/Graves/Barsac,法国/波尔多/格拉夫/巴尔萨克,,,,,,,750,
110,Château d'Arche,方舟城堡/方舟庄园/达仕酒庄,http://www.chateaudarche-sauternes.com/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
111,Château Filhot,菲乐庄园/飞跃酒庄,http://www.filhot.com/,甜酒,France/Bordeaux/Graves/Sauternes,法国/波尔多/格拉夫/苏玳,,,,,,,750,
