images/1/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2010,2017-2030,,"Cabernet Sauvignon/70%
Merlot/20%
Petit Verdot/10%",750
images/2/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2009,2015-2025,,"Cabernet Sauvignon/55%
Merlot/22%
Cabernet Franc/15%
Petit Verdot/8%",750
images/3/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2008,2014-2020,,"Cabernet Sauvignon/43%
Merlot/33%
Cabernet Franc/19%
Petit Verdot/5% ",750
images/4/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2007,2012-2020,,"Cabernet Sauvignon/43%
Merlot/29%
Cabernet Franc/28%",750
images/5/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2006,2010-2016,,"Cabernet Sauvignon/40%
Merlot/26%
Cabernet Franc/34%",750
images/6/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2005,2014-2019,,"Cabernet Sauvignon/34%
Merlot/34%
Cabernet Franc/32%",750
images/7/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2004,2010-2022,,"Merlot/37%
Cabernet Sauvignon/33%
Cabernet Franc/30%",750
images/8/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2003,2010-2018,,"Cabernet Sauvignon/34%
Merlot/33%
Cabernet Franc/33%",750
images/9/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2002,2007-2017,,"Cabernet Sauvignon/40%
Merlot/35%
Cabernet Franc/25%",750
images/9/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2001,2008-2016,,"Cabernet Sauvignon/50%
Merlot/35%
Cabernet Franc/15%",750
images/9/,Château du Tertre,德丘酒庄/杜特/狄达/杜•黛特,www.chateaudutertre.fr/,红,法国/波尔多/梅多克/玛歌,德丘酒庄/杜特/狄达/杜•黛特,Château du Tertre,2000,2008-2014,,"Cabernet Sauvignon/40%
Merlot/35%
Cabernet Franc/20%
Petit Verdot 5%",750
